SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408
369,19.32,15.46,16.27,23.84,24.32,31.82,0.88,14.42,9.42,7.41,0.7,2.26,4.84,7.76,,0.16,0.0,0.17,,,,,,,,,,,,
72586,31.35,51.05,48.12,36.53,29.86,19.91,5.27,82.11,30.34,43.08,43.06,19.47,0.6,5.07,8.32,17.59,,5.82,,,,,,,,,,,,
5872,29.27,8.88,78.62,20.17,47.33,14.91,,20.56,15.91,,0.41,,28.37,2.56,,22.27,,,,,,,,,,,,,,
46016,40.33,55.19,73.47,63.83,73.51,66.08,43.08,40.44,97.17,37.49,28.19,49.49,25.46,8.01,29.8,15.52,1.91,49.38,,42.71,,,25.66,,,5.49,,,,
191856,3.2,11.08,3.33,67.24,28.75,84.82,51.0,1.71,11.6,3.15,0.0,10.9,50.62,,0.17,,,,,4.72,,,,,,19.98,,,,
129838,7.3,29.03,10.09,79.33,20.96,80.47,17.09,61.69,15.17,61.77,,68.17,87.67,,,,44.43,0.15,,0.19,,,0.17,,,93.25,,,,
196906,14.85,15.03,6.74,44.18,30.4,90.89,0.0,47.55,19.31,48.91,50.6,68.32,11.24,,0.0,,,0.17,,20.03,,,,,,32.6,,,,
2765,43.2,67.17,99.91,49.76,44.13,47.45,45.09,11.84,73.82,37.1,26.68,24.43,18.56,29.95,5.26,8.57,,,0.0,,,,,,,,,,,
36895,3.44,12.65,22.86,11.28,23.66,4.64,2.82,60.54,3.89,39.45,7.06,16.4,0.3,0.79,72.35,3.03,,,1.57,,,,,,,,0.15,,,
66280,5.94,29.18,4.21,16.99,9.24,27.12,17.97,34.59,24.09,30.76,0.37,34.9,,0.35,,,29.69,,,0.0,,,0.74,,,19.27,,,,
595,66.87,9.99,11.44,48.57,79.41,56.61,,24.31,10.38,18.81,11.69,0.19,2.62,0.59,,2.53,38.08,,0.0,,,,,,,,,,,
19692,9.16,61.0,26.32,48.35,58.19,54.28,2.12,92.63,48.21,45.43,16.77,3.62,0.0,0.0,35.23,11.5,11.19,1.76,,,,,,,,,,,,
43533,61.76,40.2,91.84,85.13,36.27,81.01,6.62,23.14,47.13,7.25,1.74,79.7,49.41,65.38,,3.03,,1.42,,81.1,0.16,,0.0,,,,,,,
102207,98.1,72.53,84.5,99.43,61.88,73.31,3.71,92.6,15.1,85.83,79.65,81.65,68.81,,,6.35,,0.35,,,,2.83,,,,8.5,,,,
8314,81.66,73.65,94.96,75.56,78.05,83.39,13.53,57.76,55.76,8.95,56.61,40.02,1.35,87.6,10.65,14.6,,5.4,,,,,0.0,,,,,,,
46865,47.07,56.67,39.96,76.23,47.86,35.01,14.96,38.61,52.32,88.68,77.05,37.64,10.29,71.85,96.85,0.15,93.0,,,,,,28.0,,,,,,,
396071,16.92,2.31,2.11,7.79,21.41,36.84,1.32,0.61,2.79,0.0,2.34,3.48,1.05,,,,,,,0.0,0.45,,,,,2.33,,,,
21121,70.26,99.99,99.99,94.49,98.26,89.25,53.71,87.6,62.32,93.84,53.61,98.75,90.71,95.36,49.85,46.18,11.14,79.15,2.57,13.11,,2.34,,,,48.96,0.33,,,
41624,14.76,41.06,55.76,32.39,79.46,36.26,10.02,7.19,10.96,13.76,21.56,48.04,0.7,0.0,9.21,7.18,0.0,3.66,,15.44,,,,,,,,,,
81922,8.37,17.44,12.51,24.99,56.63,39.26,2.97,9.05,15.61,6.53,20.66,0.0,,0.45,0.87,0.15,,,0.33,,,,,,,,,,,
89430,8.02,6.68,21.97,81.17,51.87,89.78,88.45,16.45,97.18,40.59,0.18,26.31,60.55,99.72,,0.65,,,0.0,,,,,,,,2.54,,,
18509,65.6,70.03,87.48,66.8,65.83,57.81,60.22,72.66,68.51,55.03,31.42,38.74,38.92,44.09,11.23,3.35,2.32,5.0,1.25,,,,0.0,,,,51.78,,,
80967,58.96,61.36,57.72,86.92,74.64,54.49,50.27,76.78,69.57,74.62,20.39,55.42,29.55,27.17,14.56,36.31,66.33,,0.16,,,,0.0,,0.0,,,,,
43696,91.39,33.65,83.28,95.46,87.76,86.56,10.44,66.43,89.75,81.43,34.61,4.12,99.98,0.65,1.0,36.45,1.89,0.97,0.0,,,,,,,2.0,,,,
32786,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,
61315,45.81,99.44,89.34,97.03,92.86,90.99,0.41,73.17,79.02,96.18,97.37,81.16,96.75,13.01,99.99,40.98,59.29,,26.91,,,,,,,,,,,
82934,87.37,99.99,66.27,71.21,7.21,0.0,25.75,32.73,6.66,98.03,7.34,,21.15,96.09,,10.76,,0.17,,,,9.41,,,,,,,,
29797,84.83,87.15,99.93,88.37,97.63,95.49,97.89,86.37,99.99,88.63,49.66,99.39,60.21,25.8,61.97,57.63,33.58,15.27,6.44,5.35,,,,,,,,,,
37388,29.08,33.73,62.94,41.22,51.19,89.37,10.48,86.22,25.17,32.86,57.42,11.96,92.77,12.62,,1.11,0.6,,,,,,,,,,,,,
230146,99.99,99.97,98.44,90.57,96.3,72.11,72.92,99.48,27.52,99.71,12.33,77.94,90.26,44.28,99.77,13.06,98.77,8.59,67.54,5.03,3.11,,,,,,4.18,,,
69755,97.95,76.32,90.17,99.86,27.14,73.68,27.56,63.96,10.77,87.57,16.87,16.17,42.39,6.93,,5.25,0.0,,,,,,,,,,,44.34,,
7170,87.93,65.99,84.64,44.04,67.35,40.63,99.99,4.06,62.11,56.06,4.7,22.26,44.77,16.03,,6.09,5.17,5.93,0.0,,,,,,,,,,,
202686,79.51,51.71,45.0,57.27,37.01,53.89,76.74,41.86,16.28,79.64,46.39,95.09,21.61,,16.94,4.35,7.34,71.73,45.59,0.15,,,,,,1.46,0.17,99.87,,
45802,35.12,69.74,79.93,95.81,56.63,78.91,29.17,14.29,91.15,61.66,18.85,1.03,31.02,2.44,25.16,37.15,,0.15,,,,,,,87.6,,,,,
111989,99.99,71.35,82.2,65.83,68.87,86.0,99.91,80.28,26.78,94.96,46.83,19.61,78.47,43.63,8.75,0.45,96.19,22.94,36.78,,,,,,,,0.0,,,
87759,10.35,11.37,17.97,9.99,19.41,27.3,18.87,36.18,45.48,2.8,31.65,41.48,0.82,,1.16,,,,,,,,,,,33.87,,,,
88278,39.01,45.5,11.32,54.35,67.33,12.48,0.2,18.71,15.44,78.09,12.47,25.47,47.06,8.07,,,66.66,,,17.8,,,,,,8.71,,,,
70325,36.93,31.17,30.89,45.91,30.02,64.17,9.92,19.87,24.23,25.62,6.27,47.88,19.11,32.81,1.09,10.39,,,,,,6.61,,,,,,,,
138527,60.06,68.4,20.74,87.36,39.1,37.35,77.35,55.84,19.88,30.32,4.06,97.32,87.06,,32.25,,17.21,,77.94,4.53,,,,31.56,,94.49,,,,
