SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408
49245,22.99,19.26,6.64,16.7,10.33,23.37,0.0,15.49,14.89,6.65,0.61,2.11,3.61,6.91,0.0,2.15,,0.17,,,,0.7,,,9.71,,,,,
65681,7.8,38.06,0.97,49.82,17.83,62.02,6.05,11.57,16.65,16.11,42.96,41.9,8.82,,0.0,,3.94,,,,0.35,,,,,13.63,,,,
78073,17.25,10.44,2.98,4.12,2.77,6.88,66.41,0.0,,0.0,,,,3.88,,0.89,,0.0,,,,,,,,,,,,
7072,23.32,9.25,17.3,12.82,5.91,16.62,,22.33,7.29,0.2,0.0,7.63,4.54,2.4,16.18,5.32,40.37,,,,,,,,,,,,,
45475,59.01,51.47,99.99,94.05,95.24,93.99,27.98,35.07,85.44,81.88,99.39,50.48,9.77,47.44,,13.45,,,,,72.08,,,,2.48,,,,,
29380,74.72,70.77,99.81,94.57,92.58,79.97,80.04,97.97,83.09,92.44,64.18,69.2,99.51,23.7,74.6,38.7,10.22,,0.2,,0.6,,,,2.73,,,,,
26151,55.62,88.12,83.89,75.16,61.43,75.27,99.99,51.98,83.76,96.28,70.41,77.57,45.77,4.84,9.88,2.66,7.73,69.17,,,,,,,1.42,,,,,
42940,6.48,85.15,10.38,56.67,37.42,25.68,27.34,32.09,7.17,18.33,2.68,63.9,8.69,69.17,,0.15,,,,,,,1.38,,,3.87,,,,
61929,58.54,99.95,89.31,94.34,81.92,79.72,81.22,32.48,36.0,98.74,78.92,99.01,99.54,6.98,75.93,61.97,98.36,2.7,2.4,0.33,,,,,,,,,,
28911,14.97,11.41,2.46,9.55,7.65,54.73,0.0,48.32,6.31,20.04,,,,16.56,,2.38,,,,,,,,,,,,,,
411588,0.0,0.85,0.0,2.59,0.78,5.7,0.2,,1.43,0.0,,60.98,,,,,,,,,,,2.51,,,16.74,,,,
10633,83.17,87.6,96.36,94.12,98.28,98.26,66.16,82.7,95.23,78.58,87.8,99.67,25.27,98.58,63.84,44.03,31.59,96.94,63.9,41.89,2.44,0.89,20.69,,0.55,,,,,
62175,21.85,37.12,39.56,45.22,41.04,32.04,13.3,11.05,41.66,19.25,16.03,54.51,14.61,3.9,31.75,7.91,0.0,0.3,,49.25,,,,0.0,0.2,,,,,
272550,97.99,96.62,97.71,92.56,94.29,86.01,86.47,97.99,57.5,97.99,97.26,83.38,97.99,55.84,97.69,76.52,97.19,0.94,97.99,1.63,,92.9,,,,,49.45,,,
132923,91.61,55.55,95.27,99.96,99.61,95.94,21.37,34.21,85.79,87.88,93.89,98.57,6.51,74.21,38.25,14.73,11.38,7.41,,,50.35,0.59,,,,,0.0,,,
23951,4.92,70.56,32.56,52.38,37.11,63.63,51.26,14.35,65.75,88.44,22.8,17.61,9.33,3.32,7.55,18.66,0.0,,2.81,,,,,,,,,,,
216765,77.29,65.78,80.93,99.53,91.03,80.58,86.19,73.41,53.47,85.01,5.43,99.99,99.16,,,38.77,0.82,,,,,,10.03,,,82.16,,,,
20959,13.41,18.24,11.18,7.21,5.19,22.65,32.3,1.22,1.4,,0.35,,,0.7,,23.8,,,,,,2.38,,,,,,,,
58635,48.39,98.74,84.24,72.42,71.45,79.98,62.65,61.5,13.24,72.4,62.97,61.02,35.03,18.29,2.71,0.17,89.01,,27.42,,,,,,,,,,,
468495,15.22,38.27,2.18,70.42,25.5,80.13,0.87,93.91,35.49,38.57,,90.3,4.24,,,,,,,34.04,,,99.81,,,74.23,,,,
1990,98.16,99.71,93.09,82.17,84.97,74.51,29.96,95.17,52.31,75.59,45.91,36.69,11.1,15.99,4.72,15.51,2.75,,35.74,5.71,9.39,,,,,,,,,
65743,0.41,4.66,88.25,5.68,9.72,28.62,0.94,0.0,2.1,10.96,1.05,29.06,42.63,0.17,22.33,1.39,0.62,,,,,,8.35,,,,,,,
142637,5.87,0.18,0.0,0.41,0.0,,,0.89,0.0,,2.98,,,9.25,0.3,0.16,,,,,,,,,,,,,,
19360,78.98,74.78,50.41,71.57,74.07,84.35,10.76,38.2,99.02,39.2,82.25,46.66,53.81,99.93,1.11,33.12,,2.13,,,,,,,,,,,,
455134,1.42,9.77,29.44,2.0,2.43,21.25,0.0,7.43,,31.44,9.8,,,,,,,2.58,,0.59,,,,,,21.89,,,,
39704,28.93,69.77,16.23,73.9,44.73,67.15,41.61,12.8,15.78,7.18,50.33,64.84,82.04,0.74,,3.57,7.48,,18.48,,,,,,,,,34.45,,
54904,96.62,91.62,76.45,82.18,93.63,53.63,29.56,17.3,72.69,98.49,57.7,98.34,18.03,44.75,,5.63,98.59,3.9,6.65,,5.17,3.17,,,,,,,,
9596,40.2,8.76,50.12,59.64,34.88,44.64,30.38,31.46,44.33,9.11,34.79,8.76,19.87,35.84,0.23,3.57,,0.33,,,,,,,,,,,,
255699,92.97,97.99,68.35,95.36,93.1,63.72,92.58,97.99,57.07,97.83,86.17,97.69,80.06,45.1,86.15,19.74,97.99,4.28,44.95,,,,,,,,24.18,,,
253773,95.96,86.73,17.03,78.1,36.64,56.58,77.5,77.86,82.65,97.99,77.53,37.1,1.05,96.12,10.95,97.8,97.99,2.3,0.23,21.1,3.81,,,,87.01,,96.65,,,
47087,45.96,41.51,12.6,18.27,36.57,55.13,7.3,2.68,15.57,48.36,31.13,5.29,31.43,4.23,,9.6,,,,,,,,,,,,,,
101710,91.18,99.32,52.46,96.4,68.26,97.49,99.99,58.35,15.65,97.68,3.45,88.62,52.14,58.55,,,70.65,,24.65,,,,,,,32.41,,,,
9781,18.63,18.7,8.36,28.64,18.71,21.7,11.1,15.68,18.66,19.39,10.82,4.01,2.86,1.62,3.15,3.57,21.96,,,,,,,,,,,,,
29446,7.47,7.07,7.91,13.05,11.63,11.86,5.22,7.5,14.54,9.61,3.59,13.44,4.89,1.38,,0.15,1.09,,,,1.72,,,,,,,,,
200905,93.76,92.7,96.28,93.93,93.44,92.23,98.45,91.4,81.71,84.71,80.39,98.02,44.75,75.72,49.55,49.94,99.98,98.94,0.59,4.45,1.91,,,,,,0.17,15.11,,
58605,75.01,57.71,41.6,39.74,38.5,65.16,0.39,4.62,8.39,56.45,21.71,67.88,20.81,24.6,0.15,16.72,71.86,0.17,3.7,,,1.39,,,,,,,,
52209,41.84,66.09,82.43,90.89,98.36,58.36,89.12,41.64,99.99,54.53,88.2,87.98,87.81,3.58,18.26,14.12,51.72,34.62,21.18,,5.0,,,,,,,,,
111969,82.91,94.81,91.76,99.34,91.97,95.42,49.99,55.75,58.84,88.33,5.2,99.61,99.99,9.12,7.95,74.35,77.72,3.35,67.96,,,,,,,3.78,,0.15,,
52537,63.89,26.92,49.36,21.05,8.69,24.25,8.97,1.97,10.1,3.44,0.68,0.77,2.32,,0.33,0.65,7.56,,4.97,,,,,,,9.26,,,,
33028,48.15,66.87,81.25,64.17,94.39,57.88,12.57,47.09,35.06,62.69,17.39,92.3,4.88,1.79,15.13,6.25,0.0,0.94,,64.78,,,,,0.6,,,,,
3020,9.58,1.37,2.66,3.38,3.97,4.97,0.0,0.61,0.0,1.37,,2.28,,10.58,,2.2,0.2,,,,2.95,,,,,,,,,
38404,58.37,38.63,3.2,84.73,50.19,74.69,67.93,46.94,42.7,52.78,52.44,93.05,93.91,,0.6,,0.45,,,1.88,6.51,,,,,24.92,,,,
176358,58.86,83.49,39.92,58.43,63.57,43.6,21.68,61.46,33.83,38.61,14.22,9.0,46.4,5.3,0.47,10.99,,79.78,,,,,,,,,4.74,,,
86487,3.16,38.89,70.53,58.12,62.01,83.07,19.81,17.08,13.19,85.71,62.31,91.05,45.41,13.29,78.09,3.8,0.0,,1.39,0.0,,,,,,18.33,,,,
44221,21.7,29.48,11.31,53.52,55.5,71.52,7.57,47.95,19.77,14.06,2.28,7.82,0.0,25.83,5.99,2.86,,,,,,,,,,,,,,
204029,99.99,99.99,89.91,97.86,60.22,46.56,29.92,91.98,62.03,99.99,13.99,71.03,11.67,21.62,99.54,61.01,99.99,7.79,26.08,6.75,,,,,,,0.0,,,
5286,57.0,17.77,50.55,27.35,24.35,82.81,5.59,41.57,45.97,14.37,0.0,1.33,0.0,0.61,10.03,7.69,,11.66,,,,26.58,,,,,,,,
97530,37.16,19.07,14.76,45.14,24.42,60.94,20.21,9.14,22.86,32.13,,62.26,0.58,12.82,0.15,11.85,,0.0,,21.45,,,,,,,,,,
4804,75.98,43.91,48.46,89.01,73.86,88.55,0.26,50.03,48.19,77.28,33.16,17.04,3.63,1.04,39.74,3.91,,,95.95,,0.7,,,,,,,,,
80854,13.51,46.62,55.29,38.75,73.1,60.46,84.6,76.18,23.09,50.19,87.2,49.05,3.23,33.21,96.5,0.17,0.0,,,,,,,,,,,,,
6365,81.44,72.86,77.68,75.86,86.26,74.32,53.08,72.41,94.16,59.78,55.56,65.14,32.19,54.49,10.58,11.53,2.73,4.74,,,0.17,,,,,,12.51,,,
26000,66.53,79.45,91.36,63.21,89.09,75.55,15.43,45.73,52.81,16.29,3.99,98.52,2.04,75.62,3.0,25.06,0.0,58.21,,,83.64,1.6,,76.05,,,,,,
271615,85.52,63.16,79.72,65.61,74.74,59.04,10.68,82.98,43.13,65.06,10.97,21.16,66.12,47.33,78.31,38.26,47.44,81.41,78.16,,47.78,,,,,,2.23,,,
72963,95.78,71.12,44.28,81.63,26.28,6.57,9.83,14.96,8.84,72.14,7.37,21.75,2.58,0.0,9.52,0.17,82.8,0.0,1.22,,,0.65,,,,,,,,
32885,57.54,54.44,54.37,46.77,90.12,86.37,23.12,49.33,6.01,18.52,68.44,90.18,23.92,11.68,,0.53,3.43,,2.7,17.97,,,,,,,,,,
59309,0.2,0.62,0.0,,,,,,,0.39,0.15,,16.43,0.0,,,,,,,,,,,,,,,,
219077,41.08,61.54,62.92,77.26,46.08,43.82,37.47,64.23,42.64,57.02,11.25,66.67,18.25,,18.47,48.82,,26.22,4.4,,,,,,,7.37,,,,
55452,87.44,9.19,12.99,27.21,12.38,27.05,9.2,4.64,53.95,19.3,0.2,,0.91,17.66,,0.53,37.26,,,,,,,,,,,,,
55008,9.52,8.31,5.99,68.42,62.6,59.26,0.41,5.76,29.07,16.63,0.35,16.34,0.35,2.06,2.3,3.57,0.23,17.48,,,,,,,,,,,,
45519,54.54,68.39,83.57,96.94,88.51,88.89,34.21,56.25,97.04,60.75,5.24,47.62,19.5,77.99,28.14,47.52,,,40.16,,,,,,,,,,,
10242,36.46,57.06,78.38,26.07,61.54,40.78,0.82,5.17,28.97,27.11,2.25,32.01,58.92,49.98,7.45,2.63,1.12,3.78,,5.0,,,4.09,,,,,,,
95836,90.56,86.51,72.44,99.89,52.84,78.67,0.8,89.27,28.6,77.15,81.59,89.06,36.54,0.0,,4.04,75.69,2.83,1.16,27.79,,,0.3,,,,,,,
83381,0.2,12.66,11.67,26.93,41.33,50.91,1.48,11.63,23.56,2.09,37.01,24.06,0.41,,,1.56,,,,,6.76,,,,,5.23,,,,
51658,44.84,6.68,36.81,29.92,63.06,53.83,64.2,38.14,68.16,26.31,,18.34,0.15,8.78,35.58,7.97,8.34,0.15,0.15,,0.18,,,,,,,,,
46205,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
74978,59.37,97.25,64.02,69.91,71.37,77.08,75.71,90.58,55.5,62.51,84.35,26.59,31.67,,62.16,7.16,0.0,,10.4,,,,0.35,,,,0.16,,,
42152,16.81,41.7,37.04,25.66,17.58,51.59,49.61,14.57,77.03,2.2,81.06,1.22,3.92,0.16,0.0,9.15,,,,,,,0.7,,,,,,,
65612,48.73,32.24,37.97,29.94,56.43,32.36,44.02,4.45,16.48,15.44,51.92,66.59,6.48,12.23,0.3,0.53,,2.53,,17.4,37.73,0.7,,,,,,,,
19704,84.18,76.97,74.29,98.26,90.16,81.51,89.58,71.46,66.64,76.56,73.43,98.57,64.33,34.64,17.49,25.94,81.71,16.94,9.32,4.4,,,,,5.75,,,,,
71671,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,
83294,67.2,51.86,6.59,55.11,75.94,43.69,0.0,38.33,28.55,48.23,5.64,25.74,1.22,2.6,4.34,0.53,0.0,,,,6.13,0.59,0.87,,,,,,,
83984,75.84,67.0,98.25,91.02,76.75,54.56,47.32,93.65,76.12,49.88,27.03,38.67,0.2,48.15,12.75,7.93,,5.08,,,73.91,,,3.02,,,,,,
58674,25.9,25.42,17.46,34.38,15.89,30.81,0.53,17.64,4.45,47.52,2.43,31.23,0.45,4.0,7.99,16.81,80.81,,,,0.17,,,,,,,,,
26027,25.21,52.88,90.78,34.81,29.72,49.84,0.48,12.15,25.39,24.81,3.94,54.64,,10.26,,8.16,,3.18,1.18,,,,,,,,,,,
32569,87.22,74.01,68.54,84.06,88.2,87.54,48.78,72.6,75.19,94.15,75.97,78.1,46.09,37.88,47.05,24.32,20.61,45.74,3.18,11.87,83.81,5.99,1.69,,3.92,,,,,
66989,4.77,7.43,7.53,17.96,27.21,30.95,0.0,0.82,4.75,14.45,3.53,34.38,,,,0.6,0.0,,,,0.7,,,,,53.74,,,,
18715,84.8,27.64,62.42,91.85,58.43,65.4,10.21,31.65,51.11,39.1,0.35,0.55,8.41,73.09,18.32,3.03,,,0.16,,,8.73,,,,,,,,
223601,66.65,63.27,52.58,70.26,56.21,39.86,72.99,72.97,65.62,72.94,71.85,53.67,71.75,1.14,0.15,73.0,45.14,12.29,72.99,,,,,,,,56.14,54.03,,
32656,60.11,40.7,94.12,99.46,99.77,99.97,63.45,18.69,86.16,63.39,53.66,96.26,83.68,31.54,6.08,40.13,7.19,1.28,3.13,,0.99,,0.7,,,,,,,
32520,60.76,24.47,62.97,32.51,30.48,54.15,17.49,69.39,19.67,53.41,0.18,4.11,2.88,26.86,,0.15,8.25,0.17,,,52.7,,,,,,,,,
41220,90.37,99.16,99.01,99.99,99.71,87.86,51.96,99.99,91.24,99.97,74.81,64.46,27.06,99.98,99.59,55.38,1.14,1.46,33.16,1.95,10.79,,,,65.56,,,,,
56653,24.46,71.22,31.86,24.48,64.27,42.21,19.92,12.65,19.72,10.46,0.4,20.22,5.83,10.25,15.62,21.59,0.0,,4.29,1.04,,1.29,,,,,,,,
19446,15.74,95.23,6.01,50.6,38.78,89.67,62.55,62.79,33.56,4.77,23.35,1.41,66.59,39.13,,5.33,,,,0.0,0.0,,,,97.36,,,,,
231640,23.55,8.92,28.11,3.98,4.54,22.51,0.99,8.53,1.55,9.61,2.81,10.17,89.84,,1.09,,0.15,,,,,,,,,21.76,,,,
29318,52.42,36.65,54.83,55.28,47.12,75.61,99.99,63.04,22.82,86.55,8.26,78.96,13.43,15.59,60.73,3.03,,,0.5,,,,,,,,90.47,,,
232704,86.91,61.37,66.34,68.88,50.93,92.68,32.72,87.93,13.22,81.57,99.06,97.04,69.46,,1.22,,0.0,0.33,0.15,52.97,,,,,,52.17,,,,
22984,71.08,91.79,96.13,77.76,93.83,72.97,89.63,13.86,99.99,35.75,41.63,8.69,48.97,5.58,,30.49,34.31,,5.04,,0.5,,,,,,,,,
18399,57.4,95.23,84.78,98.31,50.51,82.67,66.14,99.99,94.19,98.37,99.78,79.17,2.63,0.79,100.0,41.41,12.93,1.98,20.37,,,,,,,,,,,
61358,51.29,47.03,90.25,33.8,21.7,52.63,74.08,48.69,37.06,14.49,15.08,9.68,39.43,4.28,,0.89,0.45,12.08,,,,,,,,,,,,
54352,26.19,4.57,13.33,6.05,9.14,1.49,,0.0,,36.74,,,0.37,3.22,,0.15,,,,,,,,,,,,,,
96633,0.0,28.76,0.2,49.22,12.69,47.72,8.57,3.25,15.73,0.0,0.22,9.97,17.75,,,,,,,0.0,,,,,,9.33,,,,
68557,71.98,95.0,90.66,72.7,98.85,70.91,19.85,71.24,82.74,76.41,92.74,99.41,6.92,0.4,37.45,1.35,43.61,,0.59,,46.69,1.39,19.53,,,,,,,
66853,77.55,98.71,7.2,75.88,22.53,34.07,39.71,11.3,39.21,87.53,1.22,80.69,80.09,20.38,,0.15,94.18,86.88,1.79,,,2.56,,,,,,,,
20601,75.6,46.49,75.99,61.8,72.76,39.41,95.24,99.09,51.33,65.82,37.53,39.87,39.05,8.51,97.03,99.91,46.01,61.33,,,6.16,,,,,,,,,
422169,24.02,69.12,23.02,13.4,10.82,23.87,2.65,3.23,2.47,7.99,39.59,15.22,1.42,,,,,0.35,0.65,,,,,,,12.62,,,,
83615,97.86,72.17,93.11,70.68,57.52,67.74,28.81,66.83,47.49,56.48,8.67,23.54,22.05,3.65,19.01,30.91,8.16,10.61,,,0.47,,,,54.2,,,,,
126330,98.05,94.9,84.93,97.82,97.22,87.91,99.9,99.99,65.37,99.34,95.43,99.98,99.99,2.29,34.31,74.83,49.39,1.62,82.17,,,,,,,,2.26,,,
87889,20.41,20.53,6.15,13.59,27.78,24.61,0.0,5.36,3.65,2.63,59.49,18.07,,0.0,5.94,0.15,,,,,,,,,,,,,,
54761,5.78,5.5,3.33,4.06,4.92,3.92,3.97,1.38,1.62,2.88,0.0,4.29,,1.3,,0.45,,,,,,,,,,19.99,,,,
278669,59.26,55.6,95.24,59.34,23.65,71.37,38.21,37.7,69.97,13.84,17.18,14.84,6.73,72.03,,3.71,0.82,,,,1.31,,,,,,57.96,,,
67743,48.52,6.86,35.96,7.19,14.95,19.55,30.99,1.97,44.21,23.56,,6.15,0.94,22.87,56.34,8.17,,,,,,3.01,,,,,,,,
23057,15.87,50.59,21.19,62.06,24.16,63.89,42.22,13.5,6.21,27.75,0.45,20.69,62.87,27.26,,14.11,0.0,,,,,,,,,,,,,
20284,60.94,84.68,60.76,83.04,96.49,95.19,54.34,54.53,92.58,35.14,7.82,92.12,22.22,5.31,,12.33,0.56,,0.35,,87.24,,,,,,,,,
83013,0.0,0.0,,0.0,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
40952,99.83,99.85,92.73,99.93,93.61,96.7,85.09,67.08,80.65,99.99,94.66,74.24,56.04,10.1,76.3,31.99,99.99,46.31,26.25,,4.86,,0.19,,,3.24,0.15,,,
192569,81.43,92.23,62.45,76.03,82.08,53.16,57.02,69.66,97.73,54.53,50.42,41.08,12.88,30.79,54.79,3.03,26.73,23.27,1.43,5.0,30.81,1.58,6.67,,,,0.0,,,
93663,55.49,9.07,19.74,42.68,25.33,47.93,1.94,74.88,25.03,11.85,25.61,16.01,0.19,10.94,,3.98,0.77,,,0.45,,14.11,,,,,,,,
41696,23.69,0.61,18.95,24.94,23.6,38.11,99.41,26.47,17.84,,1.82,28.74,,0.3,2.02,2.02,0.16,,,,,,,,,,,,,
85147,31.42,8.54,3.14,4.89,11.51,4.54,,2.44,0.89,70.02,13.15,0.0,,2.54,48.88,0.45,,,,,,,,,,,,,,
66397,19.47,21.22,9.83,21.27,22.83,20.33,24.99,1.63,2.2,5.32,7.74,0.4,53.86,5.39,0.8,1.77,,1.58,,,,,,,,,,,,
26452,7.43,43.75,14.39,27.75,18.13,20.4,58.37,6.15,28.19,23.13,7.16,24.77,8.13,1.94,0.7,0.16,9.18,0.0,0.15,,,,,,,,,,,
74827,0.18,,,,0.0,,,,,0.0,,,,,,6.17,,6.93,,,,,,,,,,,,
40756,99.99,70.86,88.7,95.72,89.23,87.28,82.96,99.99,37.2,96.33,15.8,87.06,35.66,20.65,99.92,47.44,99.99,,100.0,,,,,,,,,,,
42450,55.19,20.32,52.99,48.26,27.43,44.02,40.19,35.07,8.59,7.95,15.15,84.14,23.41,40.02,30.08,9.89,,,,,,,,,,,,,,
242892,0.75,0.74,1.53,0.37,0.18,2.6,,,,,3.82,5.4,1.47,,,,,,,,,,,,,35.42,,,,
73354,38.39,72.35,76.19,64.28,67.49,49.71,13.61,79.14,66.28,86.63,88.51,42.75,30.78,42.87,88.64,3.32,6.87,0.0,,0.0,,,,,,,,,,
25038,62.23,56.28,46.72,12.97,10.32,28.67,0.0,19.75,25.71,0.41,55.94,1.29,10.61,21.19,,10.83,,8.5,,,,,,,,,,,,
34452,82.23,98.45,81.02,88.34,83.78,70.75,19.15,76.05,76.43,83.92,50.56,40.23,19.23,15.5,40.74,0.17,6.21,36.56,73.2,,,,,,,,,,,
81982,16.77,2.45,7.65,18.04,10.68,40.16,42.28,20.03,6.32,0.0,,1.37,47.57,3.61,3.32,0.15,1.19,,,,,1.39,,,,,,,,
116452,88.87,92.89,89.45,94.59,78.01,96.12,83.07,79.58,48.66,90.9,44.22,94.73,99.99,1.72,0.45,3.15,57.91,53.38,89.38,,,,,,,13.66,,,,
2743,54.57,89.16,88.34,64.7,88.84,31.9,91.73,90.21,50.93,58.87,83.97,24.3,25.08,25.1,2.3,9.81,63.41,9.37,0.94,,72.27,,,,2.02,,,,,
61462,23.55,1.77,44.99,57.21,90.4,75.66,4.67,95.65,20.23,13.06,34.15,91.31,1.54,10.33,,4.15,,,,,4.28,,,,,,,,,
37736,51.47,52.7,56.12,89.68,61.92,98.68,37.99,98.13,31.16,65.07,17.57,90.63,44.11,34.28,,41.76,1.31,1.57,4.38,5.04,9.36,87.96,,,,,,0.55,,
2952,83.66,41.83,79.84,52.71,66.67,64.6,79.85,94.49,98.68,40.64,0.17,47.79,97.83,98.56,99.88,29.15,3.53,,,0.0,25.63,,2.26,,,,,,,
23122,40.62,83.46,45.47,49.05,33.15,68.83,57.87,21.88,76.39,83.78,69.25,51.14,1.11,50.66,32.49,3.32,8.67,45.96,0.0,15.71,,,0.0,,,,,,,
59610,1.4,0.19,0.0,0.97,0.82,3.45,0.0,0.0,0.58,,0.58,,,,,,,,,,,,,,,16.47,,,,
37171,69.39,78.4,92.23,75.11,66.77,74.34,66.82,45.16,62.18,68.55,65.33,97.4,34.94,98.04,38.78,3.21,75.35,20.75,,24.46,28.41,,,,,,,,,
7047,99.19,81.61,48.1,99.13,95.45,91.49,84.2,90.09,79.76,82.47,65.48,74.21,14.13,3.41,32.07,30.88,0.18,,,,86.42,,,,,,,,,
61729,29.36,46.69,14.61,13.66,8.95,15.54,4.53,6.13,4.48,24.22,0.17,3.02,82.58,11.07,45.64,6.08,6.71,,0.77,,,,,,,,,,,
279893,81.59,65.2,99.27,64.72,90.04,69.44,17.54,51.81,65.09,45.39,62.73,94.4,22.49,60.95,4.06,14.94,26.31,5.53,,,,,,,,,5.64,,,
14734,26.36,24.44,55.73,82.08,57.94,87.34,30.56,5.84,69.9,29.65,22.07,27.63,38.15,2.29,,20.82,,,,,,5.98,,0.15,,,,,,
44803,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
23932,57.18,68.22,39.27,88.9,55.14,90.28,89.73,32.14,99.89,61.26,8.43,44.09,23.9,29.25,0.6,12.82,,,,,1.62,,,,,,,,,
90306,90.81,93.5,79.06,93.48,60.38,90.36,99.98,64.73,39.75,65.18,72.09,0.23,6.16,0.0,,99.08,3.4,8.95,2.87,,,,,,,,,,,
100564,58.77,47.33,37.5,83.69,46.69,69.74,32.89,14.29,31.3,46.94,21.05,59.7,27.56,99.67,12.97,3.21,27.19,4.24,,99.99,,1.18,,70.3,,,,,,
119421,61.31,82.61,30.63,63.95,40.6,84.35,75.11,67.08,15.31,60.09,98.8,98.76,29.57,32.85,,,14.79,17.86,,0.17,5.4,,,,,2.07,,,,
46673,49.43,88.07,29.78,71.43,36.38,68.86,21.91,55.51,49.5,90.66,26.92,79.0,7.22,96.79,0.55,4.87,71.56,22.93,0.0,,,,,,76.19,,,,,
81095,66.1,15.67,49.69,15.43,16.86,22.35,35.99,7.23,9.34,10.08,3.44,31.41,67.46,16.24,10.05,7.52,0.49,,,,,,,,,,,,,
155119,95.31,74.53,98.85,98.33,99.99,96.08,99.99,94.87,91.12,99.45,33.76,96.17,23.53,20.7,63.61,74.31,64.7,6.77,22.21,3.13,4.39,,0.0,,,,12.51,,,
69478,31.69,45.29,13.51,60.6,33.61,63.21,86.81,49.27,95.59,26.21,0.87,79.7,22.59,1.38,,10.42,4.9,,2.17,67.46,14.56,,,38.08,,,0.3,,,
33166,71.25,28.32,72.71,33.8,31.73,26.16,74.11,29.48,35.44,35.81,63.7,84.51,27.06,1.68,19.6,12.28,0.0,6.06,2.14,,,,0.0,9.52,,,1.19,,,
71290,84.51,78.13,41.49,87.17,84.99,51.23,12.51,40.15,45.14,88.57,13.72,30.01,70.13,48.45,,3.03,0.0,2.86,,,,,,,,,,,,
46023,57.41,67.17,42.42,58.74,30.6,51.78,22.4,24.43,42.14,60.58,15.73,23.99,15.89,3.55,9.88,1.29,8.27,25.01,0.15,1.34,,,,2.47,0.3,,,,,
154011,51.93,59.06,35.06,65.4,62.92,53.02,47.17,63.24,68.46,59.87,21.22,68.6,42.57,31.71,30.39,15.52,52.51,8.57,,29.95,,0.89,0.45,,,,0.45,,,
82049,38.83,65.65,32.13,46.49,60.89,86.33,81.96,53.8,4.35,37.27,85.1,10.51,9.95,18.67,67.46,3.7,0.0,1.16,4.24,,0.0,,,,,,,,,
28180,90.53,89.13,97.85,95.23,86.38,95.25,64.68,89.69,94.24,98.34,64.88,96.91,90.52,86.59,42.1,43.88,10.6,11.75,,,,,,,,,,,,
336599,17.65,73.47,45.52,73.61,39.56,78.73,32.81,73.1,15.14,6.28,22.32,67.22,42.57,,1.89,,0.56,,,,,,,,,73.57,,,,
132967,93.65,98.58,91.11,74.84,45.98,25.11,98.34,28.12,37.55,54.29,61.01,6.49,15.76,5.19,44.43,49.21,58.39,1.62,14.89,,0.17,,0.17,,,,83.17,,,
53043,92.93,67.09,69.75,51.61,25.61,43.77,34.91,23.4,4.31,37.75,70.52,99.38,12.79,0.0,27.82,0.15,0.88,,0.0,,,,,,,,,,,
109390,90.09,93.03,50.23,95.13,65.73,99.88,48.68,26.58,22.27,69.91,3.7,96.37,99.36,2.68,,0.45,34.69,,,7.33,,,,,,39.03,,,,
116215,19.59,34.71,41.22,65.03,29.75,77.41,9.0,53.97,26.08,14.51,78.9,62.48,22.88,0.16,0.59,8.54,10.08,0.53,0.5,,,,,,,43.46,,,,
38416,35.98,3.05,16.35,30.68,44.43,45.24,11.28,71.36,10.13,5.53,37.99,46.89,12.19,2.6,,4.67,,,,0.15,,,,,,89.89,,,,
47942,55.16,27.09,83.73,26.96,36.86,57.99,63.19,9.76,4.52,5.67,3.25,54.02,2.0,98.43,,8.69,,,,1.19,,3.86,,,,,,,,
54539,66.67,65.82,82.49,96.79,59.95,91.44,84.18,79.19,88.48,87.58,28.99,95.54,98.14,,0.33,15.51,0.17,,2.25,,0.0,97.99,,,35.57,94.54,,,,
18244,60.0,41.48,47.57,50.81,27.21,42.92,69.22,54.3,25.0,51.22,44.08,39.72,22.02,8.82,21.24,10.09,0.47,5.42,0.53,14.88,,,,,,,,,,
210706,77.12,57.23,59.67,76.56,61.99,53.84,5.52,84.13,20.95,85.55,15.3,62.75,44.81,,,,65.74,,,,,,,,,55.75,,,,
39683,78.68,69.59,50.76,67.84,42.31,78.45,36.28,55.25,37.01,59.92,75.94,0.0,91.47,32.96,19.22,5.12,,6.09,,,,1.29,,,,,,,,
377359,26.62,4.17,0.0,64.32,11.25,49.39,0.0,53.54,20.64,5.47,16.02,12.59,9.23,,,,76.51,0.15,,20.45,,,3.2,,,1.9,,,,
29984,15.19,74.46,81.71,54.03,74.09,83.39,96.16,25.34,98.38,52.89,1.55,0.2,,1.53,,20.21,,0.17,,,,,,,,,,,,
