SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408,FLAG
19493,99.43,28.42,71.23,49.85,84.78,38.68,63.21,36.85,98.01,37.35,37.67,32.15,4.72,6.2,,5.93,68.81,,2.06,0.65,,,6.43,0.0,,,,,,,0
386673,55.18,11.53,13.63,59.52,40.53,87.61,27.53,25.0,20.52,80.04,0.2,66.55,13.92,,,,70.79,0.0,,,55.66,,,,,87.31,,98.89,,,0
217880,92.95,41.78,84.89,99.89,99.26,90.61,94.8,33.32,66.38,93.27,36.06,97.87,93.33,46.35,,43.52,44.44,,29.85,1.0,,,,0.16,,,10.2,,,,1
135942,6.79,39.32,0.96,86.71,38.17,84.22,0.22,30.6,32.84,2.14,1.46,38.14,14.66,,,,,,,1.54,,,0.17,,,93.13,,,,,0
113583,64.89,77.55,67.46,76.91,66.87,84.68,61.44,73.96,90.14,94.87,77.6,52.76,2.22,79.07,97.8,5.73,1.48,,18.99,0.0,,,,,,,1.63,,,,1
18031,16.75,39.61,8.57,85.78,46.79,95.28,64.07,15.69,87.21,22.15,42.81,21.41,0.39,16.95,47.12,28.63,59.89,0.65,,8.78,73.61,,,,,,,,,,1
51642,15.13,75.9,49.35,44.71,28.48,40.28,46.63,48.21,60.97,41.66,3.68,8.64,0.74,17.68,43.75,29.32,21.29,,,,,,,,,,,,,,0
28428,21.43,46.65,32.25,87.87,48.0,77.24,39.39,78.84,52.61,59.96,7.96,91.5,39.94,18.24,4.93,3.21,,,4.02,,,90.29,,,,,,,,,1
18443,58.38,63.1,70.37,99.88,63.96,99.49,64.06,55.34,28.34,59.66,1.04,86.17,81.51,75.62,30.01,3.03,0.41,0.74,,,38.76,,,,8.3,,,,,,0
23201,51.97,40.59,95.48,94.97,84.62,85.46,22.9,99.47,79.74,85.55,53.66,99.7,97.48,1.99,98.22,19.97,42.75,,35.95,,93.84,,,,,,,,,,1
80324,12.58,6.83,4.77,29.06,3.37,21.67,18.65,12.17,8.2,1.02,10.52,,0.0,0.61,,1.81,,,,,,,,,,,,,,,1
40217,75.52,44.22,87.84,81.19,84.1,64.86,30.34,59.32,70.0,92.4,39.5,46.32,99.0,17.13,,10.77,18.37,3.4,0.15,,50.17,,,,,,,,,,1
356049,43.72,19.85,18.38,69.04,71.27,40.89,17.11,55.22,49.7,84.86,1.17,44.21,87.63,,,,1.88,12.81,,,,,,,,32.33,,,,,0
4697,5.45,3.64,11.52,21.97,16.3,12.32,3.65,15.87,12.25,8.47,0.76,2.11,40.66,0.7,,0.53,4.35,0.0,,,,,,,,,,,,,1
84412,8.99,9.32,44.63,19.27,7.86,27.09,0.0,44.37,9.19,3.93,2.02,33.72,,37.31,,0.15,,,,0.15,,,0.15,,,,,,,,1
42263,69.22,18.34,76.54,96.57,43.89,94.71,7.15,38.78,39.45,55.81,60.62,67.49,56.42,8.08,,3.57,6.34,,,,24.69,,26.25,,,,,,,,1
113857,66.82,65.76,15.01,29.3,0.2,4.83,99.99,78.34,12.12,8.29,7.11,91.81,36.97,,,7.68,0.17,35.33,1.22,,,,,,,8.88,,,,,0
50535,91.09,42.24,52.37,55.28,78.78,56.31,2.75,15.92,43.39,97.8,22.61,61.01,23.39,4.39,1.2,41.37,97.98,,0.17,,,,,,,,,,,,1
353740,15.88,3.12,32.1,41.58,22.1,44.28,4.87,59.87,11.08,27.69,1.02,48.75,25.43,,10.24,,0.56,,0.35,,,,,,,50.45,,,,,0
75646,53.64,13.99,53.11,45.77,40.15,81.75,7.35,0.65,46.01,36.79,8.61,30.28,8.58,69.95,,8.3,,,,0.0,,,,,,,,,,,1
82720,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,0
22796,69.45,83.9,99.92,76.87,93.12,43.94,98.89,36.79,99.99,55.37,20.79,99.04,10.29,94.8,82.71,38.56,1.78,,,,,,,,,,,,,,0
16970,27.89,48.14,43.97,56.42,78.17,66.51,98.67,13.68,32.13,30.21,67.69,16.75,2.15,86.65,,0.76,4.86,0.0,,,,,,,,,,,,,1
51019,16.2,66.82,47.18,65.01,52.03,81.49,22.26,16.07,32.16,31.84,41.97,25.21,30.09,40.49,,1.19,5.41,0.0,3.33,,,,,,,,,,,,1
11219,10.09,26.66,14.89,20.96,16.9,52.98,,0.35,12.35,2.77,0.0,31.2,,,,,,,,2.59,,,0.15,,,15.28,,,,,0
