SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09,FLAG
93856,2HA,1.0,51.0,3,3.0,4498,8,8,普通接入,0,0,90.0,90.0,90.0,宽带,90.0,1,6.05,19.84,12.91,5,19,11,4,8,7,0
82990,2HA,1.0,30.0,15,7.0,10249,100,100,FTTH接入,0,0,110.0,101.29,80.0,宽带,80.0,1,28203.22,26229.03,26800.43,1529,1394,1474,30,32,30,0
63779,2HA,2.0,39.0,22,1.0,1589,100,100,FTTH接入,0,0,85.0,85.0,57.0,宽带,60.0,1,19810.99,13049.61,17114.64,87,74,50,19,12,17,0
63786,2HA,1.0,35.0,22,6.0,22866,100,100,FTTH接入,0,0,110.0,104.19,80.0,宽带,80.0,1,52165.71,52420.08,60097.24,28,19,23,20,16,18,0
63887,2HA,2.0,23.0,22,1.0,1382,6,50,FTTH接入,0,0,55.0,55.0,55.0,宽带,60.0,1,28726.38,40286.11,43678.93,54,29,73,17,16,21,0
84124,2HA,2.0,50.0,14,2.0,1757,8,8,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,9782.01,4733.18,9003.52,72,71,44,29,32,23,1
60482,2HA,2.0,28.0,23,,250,20,200,FTTH接入,0,0,90.0,140.0,5.0,宽带,90.0,1,38932.21,114.34,0.0,257,3,0,11,2,0,0
53663,2HA,1.0,31.0,24,1.0,1728,100,100,FTTH接入,0,0,85.0,75.32,55.0,宽带,60.0,1,44588.79,80403.61,70281.44,21,77,34,15,26,20,0
123436,2HA,2.0,27.0,13,3.0,3115,20,20,FTTH接入,0,0,110.0,110.0,110.0,宽带,110.0,0,121615.48,62517.12,79765.78,37,22,41,29,18,21,0
120900,2HA,2.0,43.0,15,2.0,1124,100,100,FTTH接入,0,0,259.0,60.0,60.0,宽带,60.0,1,50937.2,44131.28,45336.3,34,32,19,23,20,17,0
108046,2HA,1.0,32.0,20,4.0,12139,8,8,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,71238.25,38721.87,27833.6,51,140,78,17,26,27,0
107028,2HA,2.0,36.0,20,1.0,1903,20,20,FTTH接入,0,0,80.0,130.0,80.0,宽带,80.0,1,1380.31,1885.67,970.77,11,13,8,11,13,8,0
116133,2HA,1.0,51.0,16,1.0,1507,8,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,1278.73,1595.17,1737.06,25,25,27,23,24,26,0
68738,2HA,1.0,22.0,20,1.0,1878,8,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,36412.57,63432.95,84666.74,95,106,60,24,30,27,0
81155,2HA,1.0,43.0,16,1.0,1543,20,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,64754.5,186.72,188.33,32,23,18,21,18,17,0
76192,2HA,2.0,35.0,18,1.0,1785,8,8,LAN接入,0,0,80.0,80.0,80.0,宽带,80.0,1,80346.74,81524.83,75229.8,105,109,93,30,30,31,0
78139,2HA,1.0,24.0,17,1.0,1898,20,20,FTTH接入,0,0,80.0,233.5,80.0,宽带,80.0,1,68319.63,71302.95,66069.18,75,76,83,30,28,31,0
54111,2HA,2.0,27.0,24,1.0,1415,100,100,FTTH接入,0,0,64.0,85.0,56.0,宽带,60.0,1,64416.29,65421.26,11466.16,17,15,14,15,13,14,0
68023,2HA,2.0,28.0,20,4.0,10237,8,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,57239.47,77203.55,85264.46,84,83,92,30,30,30,0
104985,2HA,2.0,41.0,20,1.0,1447,20,100,FTTH接入,0,0,299.0,50.0,50.0,宽带,50.0,1,24292.74,29426.15,24376.46,15,14,15,15,14,15,0
