SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09
121768,2HA,1.0,20.0,14,1.0,1453,20,20,FTTH接入,0,0,80.0,80.0,65.6,宽带,80.0,1,142628.74,122548.86,132450.54,89,91,67,30,30,30
122053,2HA,1.0,28.0,14,1.0,1413,8,8,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,67640.64,59585.54,64145.86,15,15,16,15,15,15
123151,2HA,2.0,20.0,13,1.0,1256,8,8,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,94586.62,81169.02,80069.17,41,35,35,30,31,30
110603,2HA,1.0,29.0,19,1.0,2044,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,72909.75,60831.28,75931.51,51,33,35,20,15,20
137717,2HA,1.0,22.0,4,,390,20,20,FTTH接入,0,0,130.0,130.0,130.0,宽带,130.0,0,132679.46,119728.0,121487.73,34,40,40,28,26,24
116707,2HA,1.0,50.0,16,1.0,1621,8,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,51622.84,113837.01,62159.49,282,1706,129,24,18,11
129730,2HA,1.0,45.0,8,3.0,4835,8,8,普通接入,0,0,90.0,90.0,90.0,宽带,90.0,1,37836.9,50281.02,70644.76,25,54,44,17,26,24
130710,2HA,2.0,30.0,7,3.0,4439,50,100,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,70891.49,43157.53,101641.31,38,35,63,18,20,30
21937,2HA,2.0,38.0,106,2.0,2880,8,8,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,56488.52,150.67,171.47,58,103,16,29,27,15
110321,2HA,1.0,30.0,19,2.0,3377,20,20,FTTH接入,0,1,85.96,90.0,90.0,宽带,80.0,1,47351.25,35859.23,36669.62,22,11,22,16,11,15
98458,2HA,2.0,30.0,61,2.0,4120,50,50,FTTH接入,0,0,100.0,100.0,84.67,宽带,108.0,0,254943.23,280540.0,289181.63,151,184,216,30,31,30
120010,2HA,2.0,28.0,15,2.0,1821,20,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,82736.95,37661.45,37758.75,59,51,47,27,21,21
105699,2HA,2.0,21.0,19,1.0,1720,100,100,FTTH接入,0,1,80.0,71.29,50.0,宽带,50.0,1,54739.05,45251.42,40591.04,18,25,18,16,16,15
103382,2HA,2.0,39.0,21,,1098,100,100,FTTH接入,0,0,249.0,50.0,50.0,宽带,50.0,1,23346.78,20466.69,25691.7,55,45,32,19,18,18
102704,2HA,2.0,38.0,18,3.0,3813,8,8,FTTH接入,0,0,82.3,82.3,82.3,宽带,90.0,1,62.43,60.19,42.74,170,166,250,30,29,27
108913,2HA,1.0,53.0,19,2.0,25203,4,4,普通接入,0,0,50.0,50.0,50.0,宽带,50.0,1,49209.7,44184.56,44060.97,17,19,17,16,17,16
115104,2HA,2.0,26.0,17,2.0,4846,8,8,FTTH接入,0,0,60.0,60.0,60.0,宽带,60.0,1,27022.03,123610.49,128054.08,25,93,69,7,28,28
108675,2HA,1.0,28.0,19,,788,20,20,FTTH接入,0,0,100.0,50.0,50.0,宽带,50.0,1,37413.33,7436.84,14471.01,35,4,34,23,3,18
107451,2HA,1.0,29.0,20,1.0,1466,50,50,FTTH接入,0,0,63.33,50.0,50.0,宽带,50.0,1,552.05,465.0,429.55,15,17,16,15,15,16
112242,2HA,2.0,51.0,18,1.0,1277,8,8,FTTH接入,0,0,60.0,60.0,60.0,宽带,60.0,1,89961.16,52086.17,72220.67,63,67,75,30,31,30
137080,2HA,2.0,37.0,4,,0,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,55737.97,72920.4,92491.32,32,42,59,19,25,28
120203,2HA,2.0,43.0,15,3.0,5227,20,20,FTTH接入,0,0,82.5,82.5,140.0,宽带,90.0,1,40597.19,20134.67,30752.32,55,22,71,22,16,27
110872,2HA,1.0,61.0,18,1.0,1861,50,50,FTTH接入,0,0,100.0,87.74,80.0,宽带,80.0,1,31718.44,47469.68,39420.77,69,54,59,28,26,23
117286,2HA,1.0,23.0,16,1.0,1712,100,100,FTTH接入,0,0,110.0,86.77,80.0,宽带,80.0,1,31105.01,73433.26,47658.81,59,88,38,27,30,27
117330,2HA,1.0,34.0,16,2.0,2406,100,100,FTTH接入,0,0,289.0,90.0,90.0,宽带,90.0,1,80.64,134.99,98.58,20,16,15,17,16,14
106468,2HA,2.0,40.0,20,1.0,2267,8,8,FTTH接入,0,0,78.5,80.0,78.5,宽带,80.0,1,54.6,48.01,18.89,47,58,31,21,26,18
110962,2HA,1.0,32.0,18,1.0,2552,8,8,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,83013.12,87808.93,51843.78,36,41,31,27,28,21
133509,2HA,2.0,106.0,6,,0,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,166761.58,172190.2,150680.69,102,111,114,30,31,31
116825,2HA,2.0,48.0,16,2.0,1894,8,8,FTTH接入,0,0,80.0,107.1,84.0,宽带,80.0,1,115.04,194.58,105.53,72,65,62,29,28,29
116847,2HA,2.0,42.0,16,2.0,3167,8,8,FTTH接入,0,0,60.0,60.0,60.0,宽带,60.0,1,31593.82,47113.77,71287.55,121,92,254,24,18,26
116895,2HA,1.0,26.0,16,1.0,1765,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,56379.03,45821.53,51302.04,115,75,69,27,22,26
117657,2HA,2.0,33.0,16,2.0,1797,20,20,FTTH接入,0,1,90.0,90.0,90.0,宽带,80.0,1,70883.54,60552.51,104494.88,56,68,141,30,18,30
118630,2HA,2.0,22.0,16,2.0,2084,100,100,FTTH接入,0,0,110.0,110.0,110.0,宽带,80.0,1,40941.43,67103.23,67135.86,127,129,116,24,28,28
107942,2HA,2.0,24.0,20,1.0,2044,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,30918.26,74166.94,68137.41,186,116,59,25,26,15
100335,2HA,2.0,49.0,41,1.0,3131,8,8,普通接入,0,0,82.5,82.5,82.5,宽带,90.0,1,101.49,6363.68,5760.61,5,4,6,2,3,5
133987,2HA,1.0,30.0,6,3.0,4996,8,8,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,34645.08,67976.38,53855.98,223,103,189,29,27,29
122498,2HA,2.0,30.0,14,3.0,4248,100,100,FTTH接入,0,0,160.0,134.58,128.5,宽带,130.0,1,28718.84,20960.12,26897.13,18,18,16,18,15,16
113961,2HA,1.0,28.0,17,2.0,1852,20,20,FTTH接入,0,0,80.0,130.0,80.0,宽带,80.0,1,64490.36,55572.33,41311.36,134,141,120,29,26,20
123411,2HA,,,13,,2170,100,100,FTTH接入,0,0,150.0,150.0,150.0,宽带,150.0,1,73969.01,74980.37,89940.62,23,28,24,18,20,20
109713,2HA,2.0,65.0,19,1.0,1070,4,20,FTTH接入,0,0,50.0,50.0,50.0,宽带,50.0,1,2233.62,1571.67,2304.79,59,53,53,27,25,21
