SERV_ID,INNET_DUR,ORG_DZS_ID,OFR_GRADE,CDE_OFR_CD,YD_CNT,TERMINAL_MODEL,BRAND_ID,MOBILE_PRICE,REL_AMT,PAY_MODE,OWE_AMOUNT,CUST_CNT,ZJ_CNT,BJ_CNT,ZJ_CNT_RATIO,ZJ_DUR,BJ_DUR,ZJ_DUR_RATIO,ZJ_PEOPLE_CNT,BJ_PEOPLE_CNT,ZJ_PEOPLE_RATIO,ZJ_AVG_CNT_RATIO,BJ_AVG_CNT_RATIO,ZJ_AVG_DUR,BJ_AVG_DUR,ZJ_CNT_DUR,BJ_CNT_DUR,ZJ_SHORT_CNT,ZJ_SHORT_CNT_RATIO,ZJ_MID_CNT,ZJ_MID_CNT_RATIO,ZJ_ROAM_CNT,ZJ_ROAM_CNT_RATIO,ZJ_LONG_CNT,ZJ_LONG_CNT_RATIO,ZJ_LONG_ROAM_RATIO,ZJ_ROAM_DUR,ZJ_ROAM_DUR_RATIO,ZJ_LONG_DUR,ZJ_LONG_DUR_RATIO,ZJ_LONG_ROAM_DUR_RATIO,ZJ_ROAM_AREA_CNT,ROAM_TOP_RATIO,SMS_CNT,DAY_CNT,FLOW_CNT,FLOW_MB,BASE_CNT,ZJ_BASE_TOP_RATIO,POINT_CNT,FLAG
12434,15,5631.0,169,2072,3.0,142,0,,10.0,2,0.0,3,202,165,0.5504,168.17,112.78,0.5986,19.0,19.0,0.5,10.63,8.68,8.85,5.94,0.83,0.68,44.0,0.2178,116.0,0.5743,0,0.0,12,0.0594,0.0594,0.0,0.0,30.15,0.1793,0.1793,4,0.0,0,31.0,840,2193.21,10,0.5347,0,0
10657,17,2460.0,169,1874,5.0,669,8,2299.0,169.0,2,0.0,5,24,28,0.4615,225.9,164.55,0.5786,5.0,9.0,0.3571,4.8,3.11,45.18,18.28,9.41,5.88,0.0,0.0,1.0,0.0417,24,1.0,11,0.4583,1.4583,225.9,1.0,85.13,0.3769,1.3769,2,0.375,0,1.0,1,0.09,1,,0,0
10544,30,10483.0,129,200,2.0,6,1,2799.0,0.0,2,0.0,4,20,15,0.5714,32.27,12.95,0.7136,7.0,10.0,0.4118,2.86,1.5,4.61,1.3,1.61,0.86,12.0,0.6,3.0,0.15,0,0.0,2,0.1,0.1,0.0,0.0,3.72,0.1152,0.1152,2,0.0,0,30.0,816,444.75,10,0.2,0,0
1658,7,6542.0,169,2072,3.0,37,2,3299.0,10.2,2,0.0,3,71,74,0.4897,152.07,115.38,0.5686,31.0,23.0,0.5741,2.29,3.22,4.91,5.02,2.14,1.56,11.0,0.1549,24.0,0.338,52,0.7324,41,0.5775,1.3099,123.35,0.8112,54.58,0.3589,1.1701,6,0.5192,2,31.0,1001,3663.16,20,0.0986,0,0
12407,15,187.0,129,2042,2.0,65,11,1199.0,1.0,2,0.0,2,124,86,0.5905,188.13,73.13,0.7201,10.0,14.0,0.4167,12.4,6.14,18.81,5.22,1.52,0.85,26.0,0.2097,58.0,0.4677,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,0.0,15,0.3306,1,0
11888,64,23.0,129,200,1.0,154,8,5688.0,159.2,2,0.0,1,49,57,0.4623,55.5,42.45,0.5666,8.0,12.0,0.4,6.13,4.75,6.94,3.54,1.13,0.74,12.0,0.2449,19.0,0.3878,2,0.0408,28,0.5714,0.6122,1.88,0.0339,37.33,0.6727,0.7066,1,14.0,1,23.0,267,2178.84,10,0.2857,3,0
13667,40,1215.0,169,1557,3.0,281,23,399.0,1.0,2,0.0,3,99,103,0.4901,96.28,98.17,0.4952,23.0,32.0,0.4182,4.3,3.22,4.19,3.07,0.97,0.95,16.0,0.1616,62.0,0.6263,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,19.0,19,0.11,4,0.9697,2,0
12735,2,6435.0,79,1671,2.0,158,5,1499.0,79.0,2,0.0,2,55,51,0.5189,74.58,78.05,0.4886,21.0,13.0,0.6176,2.62,3.92,3.55,6.0,1.36,1.53,7.0,0.1273,23.0,0.4182,0,0.0,4,0.0727,0.0727,0.0,0.0,6.37,0.0854,0.0854,2,0.0,0,31.0,620,567.68,8,0.6727,0,0
15823,59,9077.0,99,2269,3.0,125,0,,1.0,2,0.0,3,53,29,0.6463,155.58,35.35,0.8149,13.0,17.0,0.4333,4.08,1.71,11.97,2.08,2.94,1.22,3.0,0.0566,18.0,0.3396,53,1.0,17,0.3208,1.3208,155.58,1.0,36.68,0.2358,1.2358,4,0.2075,1,31.0,870,1112.16,1,,0,0
14403,65,1692.0,169,1557,2.0,72,6,1899.0,1.0,2,0.0,2,43,47,0.4778,82.55,89.62,0.4795,15.0,13.0,0.5357,2.87,3.62,5.5,6.89,1.92,1.91,2.0,0.0465,17.0,0.3953,1,0.0233,4,0.093,0.1163,2.77,0.0335,18.18,0.2203,0.2538,3,40.0,0,26.0,512,755.48,15,0.3953,1,0
17714,99,,169,1557,3.0,354,55,498.0,1.0,2,0.0,5,4,3,0.5714,3.17,7.22,0.305,1.0,3.0,0.25,4.0,1.0,3.17,2.41,0.79,2.41,1.0,0.25,2.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,0.0,2,0.75,4,0
12071,53,2176.0,129,1601,4.0,148,6,3500.0,129.0,2,0.0,4,181,178,0.5042,229.08,184.48,0.5539,62.0,60.0,0.5082,2.92,2.97,3.69,3.07,1.27,1.04,40.0,0.221,79.0,0.4365,8,0.0442,37,0.2044,0.2486,11.03,0.0482,69.27,0.3024,0.3506,3,4.125,16,31.0,1163,4127.03,28,0.6243,1,0
7542,16,542.0,299,2149,5.0,152,3,999.0,11.0,2,0.0,5,23,17,0.575,26.98,43.55,0.3826,8.0,4.0,0.6667,2.88,4.25,3.37,10.89,1.17,2.56,1.0,0.0435,11.0,0.4783,0,0.0,1,0.0435,0.0435,0.0,0.0,0.4,0.0148,0.0148,1,0.0,0,12.0,58,119.1,6,0.5217,5,0
7967,2,1882.0,9,1862,1.0,6,1,2799.0,24.97,2,0.0,1,33,10,0.7674,39.15,6.13,0.8646,7.0,5.0,0.5833,4.71,2.0,5.59,1.23,1.19,0.61,8.0,0.2424,17.0,0.5152,0,0.0,11,0.3333,0.3333,0.0,0.0,5.97,0.1524,0.1524,1,0.0,0,6.0,79,216.62,6,0.4848,0,0
12895,2,336.0,99,1897,2.0,107,0,,0.2,2,0.0,2,3,2,0.6,4.97,3.35,0.5972,1.0,2.0,0.3333,3.0,1.0,4.97,1.68,1.66,1.68,0.0,0.0,1.0,0.3333,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,31.0,1376,6269.73,2,0.6667,0,0
5378,2,41.0,5,1332,1.0,4,1,1299.0,12.7,2,0.0,1,15,1,0.9375,70.42,0.12,0.9983,7.0,1.0,0.875,2.14,1.0,10.06,0.12,4.69,0.12,1.0,0.0667,2.0,0.1333,0,0.0,8,0.5333,0.5333,0.0,0.0,63.03,0.8951,0.8951,1,0.0,0,,0,0.0,7,0.2667,0,0
